Phylum,Class,Order,Family,Genus,Species,aphiaID,species_filter,method
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia hemisphaerica,117368,clytia hemisphaerica,edna
Cnidaria,Staurozoa,Stauromedusae,Craterolophidae,Craterolophus,Craterolophus convolvulus,135312,craterolophus convolvulus,edna
Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Cyanea capillata,135301,cyanea capillata,edna
Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Dynamena,Dynamena pumila,117888,dynamena pumila,edna
Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Gonionemus,Gonionemus vertens,117768,gonionemus vertens,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Gonothyraea,Gonothyraea loveni,117377,gonothyraea loveni,edna
Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,Haliclystus,Haliclystus tenuis,287231,haliclystus tenuis,edna
Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Hybocodon,Hybocodon prolifer,117988,hybocodon prolifer,edna
Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Hydractinia,Hydractinia echinata,117644,hydractinia echinata,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Laomedea,Laomedea flexuosa,117382,laomedea flexuosa,edna
Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,Metridium senile,100982,metridium senile,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,117385,obelia bidentata,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,117386,obelia dichotoma,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia geniculata,117388,obelia geniculata,edna
Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia longissima,117389,obelia longissima,edna
Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa,117491,sarsia tubulosa,edna
Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,Metridium dianthus,158251,metridium dianthus,traditional
Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis squamata,125064,amphipholis squamata,both
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias forbesi,158489,asterias forbesi,both
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,123776,asterias rubens,both
Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,Ophiopholis aculeata,125125,ophiopholis aculeata,both
