#,Per phyla,Phylum,Class,Species,Total reads,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB,Decision,Removal Justification
130,38,Mollusca,Gastropoda,Turbonilla_powhatani,87,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,,
131,1,Nemertea,Pilidiophora,Cerebratulus_lacteus,142,0,30,0,0,0,0,0,0,102,0,0,0,0,0,0,10,0,,
132,2,Nemertea,Pilidiophora,Parvicirrus_dubius,390,0,49,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,,
133,1,Platyhelminthes,Rhabditophora,Astrotorhynchus_hakaiensis,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,,
134,2,Platyhelminthes,Rhabditophora,Microstomum_septentrionale,2735,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
135,1,Porifera,Demospongiae,Cliona_celata,530,0,0,0,15,0,0,0,0,0,0,0,515,0,0,0,0,0,,
136,2,Porifera,Demospongiae,Halichondria_bowerbanki,1329,0,0,0,0,0,0,185,0,0,0,203,508,286,0,147,0,0,,
137,3,Porifera,Demospongiae,Halichondria_panicea,3526,195,416,11,67,11,1229,0,0,494,147,60,869,18,0,0,9,0,,
138,4,Porifera,Demospongiae,Haliclona_oculata,173,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,,
,,,,,Site total,17685,6227,12507,7730,2021,6736,4075,11724,21641,5287,26369,12203,13928,20835,3361,9188,16940,,
